,uid,time,tasks
359,netmark-experiment-size-90,73.486,90
360,netmark-experiment-size-90,59.845,90
361,netmark-experiment-size-90,51.129,90
362,netmark-experiment-size-90,58.317,90
363,netmark-experiment-size-90,72.839,90
364,netmark-experiment-size-90,64.894,90
365,netmark-experiment-size-90,69.445,90
366,netmark-experiment-size-90,65.79,90
367,netmark-experiment-size-90,54.819,90
368,netmark-experiment-size-90,58.996,90
369,netmark-experiment-size-90,61.931,90
370,netmark-experiment-size-90,72.858,90
371,netmark-experiment-size-90,61.617,90
372,netmark-experiment-size-90,62.92,90
373,netmark-experiment-size-90,75.029,90
374,netmark-experiment-size-90,48.496,90
375,netmark-experiment-size-90,67.079,90
376,netmark-experiment-size-90,69.335,90
377,netmark-experiment-size-90,68.031,90
378,netmark-experiment-size-90,54.815,90
379,netmark-experiment-size-90,66.176,90
380,netmark-experiment-size-90,54.383,90
381,netmark-experiment-size-90,62.758,90
382,netmark-experiment-size-90,73.677,90
383,netmark-experiment-size-90,64.041,90
384,netmark-experiment-size-90,61.565,90
385,netmark-experiment-size-90,51.461,90
386,netmark-experiment-size-90,54.266,90
387,netmark-experiment-size-90,69.967,90
388,netmark-experiment-size-90,62.701,90
389,netmark-experiment-size-90,63.363,90
390,netmark-experiment-size-90,62.082,90
391,netmark-experiment-size-90,69.487,90
392,netmark-experiment-size-90,72.007,90
393,netmark-experiment-size-90,61.545,90
394,netmark-experiment-size-90,49.377,90
395,netmark-experiment-size-90,61.885,90
396,netmark-experiment-size-90,60.334,90
397,netmark-experiment-size-90,61.911,90
398,netmark-experiment-size-90,73.608,90
399,netmark-experiment-size-90,58.367,90
400,netmark-experiment-size-90,64.596,90
401,netmark-experiment-size-90,67.249,90
402,netmark-experiment-size-90,65.604,90
403,netmark-experiment-size-90,69.626,90
404,netmark-experiment-size-90,60.087,90
405,netmark-experiment-size-90,56.629,90
406,netmark-experiment-size-90,69.149,90
407,netmark-experiment-size-90,60.732,90
408,netmark-experiment-size-90,66.755,90
409,netmark-experiment-size-90,69.156,90
410,netmark-experiment-size-90,69.177,90
411,netmark-experiment-size-90,63.903,90
412,netmark-experiment-size-90,68.449,90
413,netmark-experiment-size-90,70.184,90
414,netmark-experiment-size-90,57.313,90
415,netmark-experiment-size-90,64.594,90
416,netmark-experiment-size-90,61.133,90
417,netmark-experiment-size-90,56.225,90
418,netmark-experiment-size-90,67.614,90
419,netmark-experiment-size-90,62.705,90
420,netmark-experiment-size-90,57.123,90
421,netmark-experiment-size-90,62.914,90
422,netmark-experiment-size-90,58.77,90
423,netmark-experiment-size-90,53.341,90
424,netmark-experiment-size-90,56.353,90
425,netmark-experiment-size-90,58.727,90
426,netmark-experiment-size-90,51.045,90
427,netmark-experiment-size-90,61.042,90
428,netmark-experiment-size-90,61.495,90
429,netmark-experiment-size-90,69.348,90
430,netmark-experiment-size-90,66.684,90
431,netmark-experiment-size-90,50.484,90
432,netmark-experiment-size-90,49.54,90
433,netmark-experiment-size-90,69.282,90
434,netmark-experiment-size-90,58.57,90
435,netmark-experiment-size-90,62.639,90
436,netmark-experiment-size-90,66.321,90
437,netmark-experiment-size-90,62.323,90
438,netmark-experiment-size-90,80.05,90
439,netmark-experiment-size-90,58.047,90
440,netmark-experiment-size-90,69.258,90
441,netmark-experiment-size-90,64.737,90
442,netmark-experiment-size-90,62.96,90
443,netmark-experiment-size-90,70.565,90
444,netmark-experiment-size-90,59.886,90
445,netmark-experiment-size-90,67.154,90
446,netmark-experiment-size-90,64.596,90
447,netmark-experiment-size-90,68.517,90
448,netmark-experiment-size-90,67.367,90
449,netmark-experiment-size-90,62.129,90
450,netmark-experiment-size-90,64.544,90
451,netmark-experiment-size-90,59.895,90
452,netmark-experiment-size-90,62.875,90
453,netmark-experiment-size-90,63.44,90
454,netmark-experiment-size-90,67.922,90
455,netmark-experiment-size-90,66.027,90
456,netmark-experiment-size-90,61.91,90
457,netmark-experiment-size-90,61.865,90
458,netmark-experiment-size-90,72.667,90
459,netmark-experiment-size-90,63.324,90
460,netmark-experiment-size-90,51.762,90
461,netmark-experiment-size-90,66.638,90
462,netmark-experiment-size-90,62.874,90
463,netmark-experiment-size-90,50.943,90
464,netmark-experiment-size-90,54.519,90
465,netmark-experiment-size-90,61.905,90
466,netmark-experiment-size-90,54.225,90
467,netmark-experiment-size-90,63.147,90
468,netmark-experiment-size-90,52.075,90
469,netmark-experiment-size-90,55.072,90
470,netmark-experiment-size-90,63.856,90
471,netmark-experiment-size-90,72.558,90
472,netmark-experiment-size-90,67.569,90
473,netmark-experiment-size-90,59.924,90
474,netmark-experiment-size-90,60.694,90
475,netmark-experiment-size-90,62.5,90
476,netmark-experiment-size-90,60.212,90
477,netmark-experiment-size-90,64.291,90
478,netmark-experiment-size-90,61.348,90
479,netmark-experiment-size-90,71.978,90
480,netmark-experiment-size-90,54.669,90
481,netmark-experiment-size-90,62.124,90
482,netmark-experiment-size-90,53.097,90
483,netmark-experiment-size-90,49.844,90
484,netmark-experiment-size-90,63.973,90
485,netmark-experiment-size-90,56.837,90
486,netmark-experiment-size-90,51.455,90
487,netmark-experiment-size-90,76.843,90
488,netmark-experiment-size-90,57.707,90
489,netmark-experiment-size-90,57.69,90
490,netmark-experiment-size-90,53.381,90
491,netmark-experiment-size-90,59.92,90
492,netmark-experiment-size-90,71.213,90
493,netmark-experiment-size-90,66.219,90
494,netmark-experiment-size-90,60.746,90
495,netmark-experiment-size-90,61.481,90
496,netmark-experiment-size-90,63.722,90
497,netmark-experiment-size-90,59.119,90
498,netmark-experiment-size-90,77.749,90
499,netmark-experiment-size-90,79.417,90
500,netmark-experiment-size-90,60.407,90
501,netmark-experiment-size-90,69.504,90
502,netmark-experiment-size-90,66.088,90
503,netmark-experiment-size-90,51.589,90
504,netmark-experiment-size-90,71.816,90
505,netmark-experiment-size-90,67.383,90
506,netmark-experiment-size-90,59.675,90
507,netmark-experiment-size-90,54.909,90
508,netmark-experiment-size-90,62.004,90
509,netmark-experiment-size-90,64.071,90
510,netmark-experiment-size-90,62.573,90
511,netmark-experiment-size-90,57.955,90
512,netmark-experiment-size-90,70.715,90
513,netmark-experiment-size-90,65.223,90
514,netmark-experiment-size-90,61.456,90
515,netmark-experiment-size-90,57.115,90
516,netmark-experiment-size-90,61.368,90
517,netmark-experiment-size-90,70.142,90
518,netmark-experiment-size-90,70.106,90
519,netmark-experiment-size-90,63.622,90
520,netmark-experiment-size-90,63.865,90
521,netmark-experiment-size-90,51.147,90
522,netmark-experiment-size-90,56.465,90
523,netmark-experiment-size-90,65.816,90
524,netmark-experiment-size-90,59.809,90
525,netmark-experiment-size-90,58.77,90
526,netmark-experiment-size-90,69.788,90
527,netmark-experiment-size-90,77.882,90
528,netmark-experiment-size-90,63.606,90
529,netmark-experiment-size-90,65.79,90
530,netmark-experiment-size-90,68.463,90
531,netmark-experiment-size-90,76.946,90
532,netmark-experiment-size-90,58.221,90
533,netmark-experiment-size-90,62.324,90
534,netmark-experiment-size-90,61.684,90
535,netmark-experiment-size-90,53.995,90
536,netmark-experiment-size-90,59.026,90
537,netmark-experiment-size-90,47.203,90
538,netmark-experiment-size-90,52.095,90
539,netmark-experiment-size-90,64.019,90
540,netmark-experiment-size-90,58.027,90
541,netmark-experiment-size-90,57.033,90
542,netmark-experiment-size-90,62.663,90
543,netmark-experiment-size-90,65.253,90
544,netmark-experiment-size-90,70.655,90
545,netmark-experiment-size-90,53.864,90
546,netmark-experiment-size-90,59.835,90
547,netmark-experiment-size-90,61.94,90
548,netmark-experiment-size-90,63.92,90
549,netmark-experiment-size-90,59.816,90
550,netmark-experiment-size-90,61.161,90
551,netmark-experiment-size-90,71.245,90
552,netmark-experiment-size-90,63.619,90
553,netmark-experiment-size-90,49.117,90
554,netmark-experiment-size-90,50.311,90
555,netmark-experiment-size-90,54.587,90
556,netmark-experiment-size-90,53.927,90
557,netmark-experiment-size-90,58.486,90
