,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,operator_name
lmp-mpi-operator-16-3,16,mpi-operator-16,52.85,60.629665,45.0,1504,2.284,mpi-operator
lmp-mpi-operator-8-8,8,mpi-operator-8,84.7,91.284212,77.0,752,1.329,mpi-operator
lmp-mpi-operator-32-5,32,mpi-operator-32,35.67,47.189058,28.0,3008,3.729,mpi-operator
lmp-mpi-operator-32-6,32,mpi-operator-32,35.65,47.52548,28.0,3008,3.739,mpi-operator
lmp-mpi-operator-32-7,32,mpi-operator-32,36.4,47.40298,28.0,3008,3.65,mpi-operator
lmp-mpi-operator-64-8,64,mpi-operator-64,30.13,49.116361,20.0,6016,5.341,mpi-operator
lmp-mpi-operator-16-4,16,mpi-operator-16,52.49,60.18219,45.0,1504,2.303,mpi-operator
lmp-mpi-operator-32-8,32,mpi-operator-32,36.89,47.85463,28.0,3008,3.68,mpi-operator
lmp-mpi-operator-16-5,16,mpi-operator-16,54.03,62.640105,44.0,1504,2.323,mpi-operator
lmp-mpi-operator-64-9,64,mpi-operator-64,32.5,50.862835,21.0,6016,5.28,mpi-operator
lmp-mpi-operator-16-6,16,mpi-operator-16,52.7,60.626201,45.0,1504,2.285,mpi-operator
lmp-mpi-operator-32-9,32,mpi-operator-32,37.88,49.314758,28.0,3008,3.642,mpi-operator
lmp-mpi-operator-64-10,64,mpi-operator-64,29.96,48.350079,21.0,6016,5.053,mpi-operator
lmp-mpi-operator-32-10,32,mpi-operator-32,35.53,46.235009,28.0,3008,3.739,mpi-operator
lmp-mpi-operator-64-11,64,mpi-operator-64,32.96,51.862967,20.0,6016,5.27,mpi-operator
lmp-mpi-operator-8-9,8,mpi-operator-8,84.0,90.942999,76.0,752,1.346,mpi-operator
lmp-mpi-operator-32-11,32,mpi-operator-32,36.06,47.025165,28.0,3008,3.716,mpi-operator
lmp-mpi-operator-16-7,16,mpi-operator-16,54.4,62.559451,44.0,1504,2.312,mpi-operator
lmp-mpi-operator-16-8,16,mpi-operator-16,52.88,60.778516,44.0,1504,2.314,mpi-operator
lmp-mpi-operator-8-10,8,mpi-operator-8,84.35,91.033953,77.0,752,1.337,mpi-operator
lmp-mpi-operator-16-9,16,mpi-operator-16,52.87,61.63007,45.0,1504,2.274,mpi-operator
lmp-mpi-operator-32-12,32,mpi-operator-32,37.55,48.727239,28.0,3008,3.695,mpi-operator
lmp-mpi-operator-32-13,32,mpi-operator-32,36.1,47.70825,28.0,3008,3.679,mpi-operator
lmp-mpi-operator-8-11,8,mpi-operator-8,83.44,89.901845,76.0,752,1.348,mpi-operator
lmp-mpi-operator-16-10,16,mpi-operator-16,57.03,65.703441,45.0,1504,2.267,mpi-operator
lmp-mpi-operator-64-12,64,mpi-operator-64,28.42,47.172933,20.0,6016,5.358,mpi-operator
lmp-mpi-operator-64-13,64,mpi-operator-64,32.92,51.580028,20.0,6016,5.273,mpi-operator
lmp-mpi-operator-16-11,16,mpi-operator-16,52.22,60.544437,44.0,1504,2.307,mpi-operator
lmp-mpi-operator-8-12,8,mpi-operator-8,83.55,89.904495,76.0,752,1.349,mpi-operator
lmp-mpi-operator-32-14,32,mpi-operator-32,36.62,48.509175,28.0,3008,3.708,mpi-operator
lmp-mpi-operator-8-13,8,mpi-operator-8,83.66,89.911482,76.0,752,1.347,mpi-operator
lmp-mpi-operator-64-14,64,mpi-operator-64,28.22,46.874721,20.0,6016,5.347,mpi-operator
lmp-mpi-operator-32-15,32,mpi-operator-32,38.99,50.74054,28.0,3008,3.692,mpi-operator
lmp-mpi-operator-16-12,16,mpi-operator-16,52.76,60.636792,45.0,1504,2.284,mpi-operator
lmp-mpi-operator-8-14,8,mpi-operator-8,96.57,103.64916,89.0,752,1.148,mpi-operator
lmp-mpi-operator-64-15,64,mpi-operator-64,28.82,47.038877,20.0,6016,5.205,mpi-operator
lmp-mpi-operator-8-15,8,mpi-operator-8,83.61,90.671817,76.0,752,1.339,mpi-operator
lmp-mpi-operator-16-13,16,mpi-operator-16,57.63,65.632387,49.0,1504,2.106,mpi-operator
lmp-mpi-operator-32-16,32,mpi-operator-32,36.62,47.394739,28.0,3008,3.748,mpi-operator
