,minicluster_size,mpitype,runtime,analysis,ranks
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-5,3,ompi,1.3633577823638916,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-11,3,ompi,1.4165349006652832,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-19,3,ompi,1.379810094833374,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-15,3,ompi,1.364875078201294,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-13,3,ompi,1.3164763450622559,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-12,3,ompi,1.3335521221160889,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-10,3,ompi,1.3728218078613281,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-7,3,ompi,1.3977949619293213,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-8,3,ompi,1.4558258056640625,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-9,3,ompi,1.569220781326294,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-18,3,ompi,1.4444875717163086,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-6,3,ompi,1.500694751739502,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-3,3,ompi,1.3576135635375977,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-14,3,ompi,1.445556640625,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-2,3,ompi,1.3596525192260742,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-1,3,ompi,1.4933781623840332,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-4,3,ompi,1.4504544734954834,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-17,3,ompi,1.3369545936584473,ring_c-noaff,168
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-16,3,ompi,1.4044935703277588,ring_c-noaff,168
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-5,5,ompi,1.3825078010559082,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-13,5,ompi,1.3959577083587646,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-17,5,ompi,1.3826229572296143,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-15,5,ompi,1.390066146850586,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-6,5,ompi,1.398890733718872,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-19,5,ompi,1.4064724445343018,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-1,5,ompi,1.3687689304351807,hello_usempi-noaff,280
kubernetes-8/ompi/size_5_hello_usempi-noaff/mpis-5-hello_usempi-noaff-0,5,ompi,1.393428087234497,hello_usempi-noaff,280
