,minicluster_size,runtime,analysis,ranks
kubernetes-8/size_5_hostname_noaffinity/lammps-5-14,5,0.21143078804016113,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-11,5,0.22037792205810547,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-9,5,0.21864652633666992,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-13,5,0.20904016494750977,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-12,5,0.23498177528381348,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-6,5,0.22360777854919434,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-15,5,0.2160789966583252,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-8,5,0.21459150314331055,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-4,5,0.24103617668151855,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-0,5,0.25165772438049316,hostname_noaffinity,280
