,stage,type,time
731,quorum->run,leader,10.9582
732,run->cleanup,leader,243.267
733,cleanup->shutdown,leader,0.244969
734,shutdown->finalize,leader,0.0667959
735,goodbye->exit,leader,2.1819999999999998e-05
736,none->join,leader,0.00026784000000000004
737,join->init,leader,2.418e-05
738,init->quorum,leader,0.258086
739,quorum->run,leader,10.1575
740,run->cleanup,leader,243.09
741,cleanup->shutdown,leader,0.244879
742,shutdown->finalize,leader,0.0652772
743,goodbye->exit,leader,2.739e-05
744,none->join,leader,0.00025236
745,join->init,leader,2.3460000000000002e-05
746,init->quorum,leader,0.261256
747,quorum->run,leader,8.0613
748,run->cleanup,leader,237.9378
749,cleanup->shutdown,leader,0.241026
750,shutdown->finalize,leader,0.0668676
751,goodbye->exit,leader,2.525e-05
752,none->join,leader,0.00026343
753,join->init,leader,2.742e-05
754,init->quorum,leader,0.261505
755,quorum->run,leader,6.89265
756,run->cleanup,leader,241.7238
757,cleanup->shutdown,leader,0.244655
758,shutdown->finalize,leader,0.06542529999999999
759,goodbye->exit,leader,2.2089999999999997e-05
760,none->join,leader,0.00024941
761,join->init,leader,2.438e-05
762,init->quorum,leader,0.262204
763,quorum->run,leader,5.02235
764,run->cleanup,leader,242.5956
765,cleanup->shutdown,leader,0.243797
